,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
177,The Boss Baby: Get That Baby!,True,N/A,N/A,2020,TV-Y7,01 Sep 2020,24 min,"Animation, Short, Adventure","Dan Forgione, Pete Jacobs, Matt Whitlock","Sarah Katin, J.D. Ryznar, Brandon Sawyer","Flula Borg, Alex Cazares, Rhys Darby",An interactive simulation is created where Boss Baby has to fight several villains hungry for revenge. The choices made in the simulation will determine the viewer's career path within Baby Corp.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMjUwNTkzNTktMDkzYi00OGYxLThjZmUtMDFmOGRiYmQwMmE4XkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.9/10'}]",N/A,4.9,307,tt12917148,movie,N/A,N/A,N/A,N/A,N/A
178,Chefâs Table: BBQ,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
179,"Love, Guaranteed",True,N/A,N/A,2020,TV-PG,03 Sep 2020,90 min,"Comedy, Romance",Mark Steven Johnson,"Elizabeth Hackett, Hilary Galanoy","Rachael Leigh Cook, Damon Wayans Jr., Heather Graham","To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each ...",English,United States,1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BNDE1MmE4MTktNzU0OS00YjdmLWEyNzYtY2JhNWE4ZWVlYmY5XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '39/100'}]",39,5.6,"17,092",tt11100856,movie,N/A,03 Sep 2020,N/A,N/A,N/A
180,Away,True,N/A,N/A,2020,TV-14,04 Sep 2020,498 min,"Drama, Romance, Sci-Fi",N/A,Andrew Hinderaker,"Hilary Swank, Josh Charles, Vivian Wu",An American astronaut struggles with leaving her husband and daughter behind to embark on a dangerous mission with an international space crew.,English,United States,4 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BZDg0NDAxOTctZjdmNy00ODVjLTgyMDItZjFmMjdjYTk3ZTYxXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"23,623",tt8787802,series,1,N/A,N/A,N/A,N/A
181,Anaconda,True,N/A,N/A,1997,PG-13,11 Apr 1997,89 min,"Action, Adventure, Horror",Luis Llosa,"Hans Bauer, Jim Cash, Jack Epps Jr.","Jon Voight, Jennifer Lopez, Eric Stoltz","A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.",English,"United States, Brazil, Peru",6 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BZDc4ODcyNWMtMzI2Zi00YzcwLWE4ZTUtYWM3OWI1MTgwYTc1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '38%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,4.8,"103,394",tt0118615,movie,N/A,06 Mar 2001,"$65,885,767",N/A,N/A
182,Puss in Boots,True,N/A,N/A,2011,PG,28 Oct 2011,90 min,"Animation, Adventure, Comedy",Chris Miller,"Tom Wheeler, Brian Lynch, William Davies","Antonio Banderas, Salma Hayek, Zach Galifianakis","An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town.","English, Spanish",United States,Nominated for 1 Oscar. 9 wins & 43 nominations total,https://m.media-amazon.com/images/M/MV5BMTMxMTU5MTY4MV5BMl5BanBnXkFtZTcwNzgyNjg2NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.6,"155,503",tt0448694,movie,N/A,24 Feb 2012,"$149,260,504",N/A,N/A
183,#Alive,False,No API key provided.,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
184,Get Organized with the Home Edit,True,N/A,N/A,2020–,N/A,09 Sep 2020,30 min,Reality-TV,N/A,N/A,"Clea Shearer, Joanna Teplin, Jordana Brewster",Organizers Clea Shearer and Joanna Teplin of The Home Edit conquer clutter and transform lives. Reese Witherspoon and Molly Sims coproduce.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZmFlOTJlYTgtNTBhMC00YThmLThjZWYtZWExY2UwZjkyNTY4XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}]",N/A,5.3,"1,074",tt12923714,series,1,N/A,N/A,N/A,N/A
185,The Babysitter: Killer Queen,True,N/A,N/A,2020,TV-MA,10 Sep 2020,101 min,"Comedy, Horror",McG,"Dan Lagana, Brad Morris, Jimmy Warden","Judah Lewis, Samara Weaving, Jenna Ortega","Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.",English,United States,2 nominations.,https://m.media-amazon.com/images/M/MV5BMWEwMDU3MWUtZTdiMy00Yjg5LWFiNWYtYTRmZGExNzk5YjQ2XkEyXkFqcGdeQXVyNTUwOTkzMzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '22/100'}]",22,5.8,"37,214",tt11024272,movie,N/A,10 Sep 2020,N/A,N/A,N/A
186,The Social Dilemma,True,N/A,N/A,2020,PG-13,09 Sep 2020,94 min,"Documentary, Drama",Jeff Orlowski,"Vickie Curtis, Davis Coombe, Jeff Orlowski","Tristan Harris, Jeff Seibert, Bailey Richardson","Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",English,United States,Won 2 Primetime Emmys. 7 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BNDVhMGNhYjEtMDkwZi00NmQ5LWFkODktYzhiYjY2NTZmYTNhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.6,"79,689",tt11464826,movie,N/A,09 Sep 2020,N/A,N/A,N/A
187,Pets United,True,N/A,N/A,2019,TV-Y7,11 Sep 2020,89 min,"Animation, Adventure, Comedy",Reinhard Klooss,"Reinhard Klooss, Oliver Huzly","Patrick Roche, Natalie Dormer, Felix Auer","A group of spoilt, selfish pets led by glamour cat Belle are stranded in their luxury hangout 'Pampered Pets,' when the machines that run Robo City, the hypermodern metropolis that they live in, go wild and take over.",English,"Germany, China, United Kingdom",N/A,https://m.media-amazon.com/images/M/MV5BNmU2YTEwODktZDFlNC00YWJmLTk0NjEtMzZjMjM4Y2E3NjdiXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.7/10'}]",N/A,3.7,"2,662",tt11276598,movie,N/A,N/A,N/A,N/A,N/A
188,Girlfriends,True,N/A,N/A,2000–2008,TV-PG,11 Sep 2000,30 min,Comedy,N/A,Mara Brock Akil,"Tracee Ellis Ross, Golden Brooks, Persia White","A look at the lives, loves, and losses of four different women, Toni, Maya, Lynn, and Joan.",English,United States,Nominated for 1 Primetime Emmy. 8 wins & 38 nominations total,https://m.media-amazon.com/images/M/MV5BOGNlMTJlNmMtN2VmYS00YjhiLTk5ZGEtNzg3OGIyYTIxODIzXkEyXkFqcGdeQXVyMTE1MTYxMzk2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"4,481",tt0247102,series,8,N/A,N/A,N/A,N/A
189,Cuties,True,N/A,N/A,2020,TV-MA,09 Sep 2020,96 min,Drama,Maïmouna Doucouré,Maïmouna Doucouré,"Fathia Youssouf, Médina El Aidi-Azouni, Esther Gohourou","Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.","French, Wolof, Arabic, Spanish, English",France,3 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BYzZiMTMzMDUtMzVmOS00ODZjLThiNDQtNmY2NzIxZjBmZGM4XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,3.2,"30,208",tt9196192,movie,N/A,09 Sep 2020,N/A,N/A,N/A
190,Julie and the Phantoms,True,N/A,N/A,2020,TV-G,10 Sep 2020,N/A,"Adventure, Comedy, Drama",N/A,"Dan Cross, David Hoge","Madison Reyes, Charlie Gillespie, Owen Patrick Joyner","Julie is a teenage girl who finds her passion for music and life with the help of a high -concept band of teen boys (The Phantoms) who have been dead for 25 years. Julie, in turn, helps them become the band they were never able to...",English,United States,5 wins & 9 nominations,https://m.media-amazon.com/images/M/MV5BMGJiYjIyZDItNDc3Ny00ZWRjLWI2ZTctZGRmZmRmNDYzNTk1XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}]",N/A,8.4,"9,418",tt10183988,series,1,N/A,N/A,N/A,N/A
191,Ancient Aliens,True,N/A,N/A,2009–,TV-PG,N/A,42 min,"Documentary, Fantasy, History",N/A,Kevin Burns,"Robert Clotworthy, Giorgio A. Tsoukalos, David Childress",Science and mythology - and how they are the same thing.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMGY1ZTdmMWItNjI1MS00MTUwLTkwNTgtYTFiMGVjOTBmMDMyXkEyXkFqcGdeQXVyNzM3MjY2MjU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"10,913",tt1643266,series,18,N/A,N/A,N/A,N/A
192,How to Train Your Dragon 2,True,N/A,N/A,2014,PG,13 Jun 2014,102 min,"Animation, Action, Adventure",Dean DeBlois,"Dean DeBlois, Cressida Cowell","Jay Baruchel, Cate Blanchett, Gerard Butler","When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",English,United States,Nominated for 1 Oscar. 15 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.8,"326,242",tt1646971,movie,N/A,11 Nov 2014,"$177,002,924",N/A,N/A
193,The Devil All the Time,True,N/A,N/A,2020,R,10 Sep 2020,138 min,"Crime, Drama, Thriller",Antonio Campos,"Antonio Campos, Paulo Campos, Donald Ray Pollock","Bill Skarsgård, Tom Holland, Michael Banks Repeta",Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.,English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BZmE1NmVmN2EtMjZmZC00YzAyLWE4MWEtYjY5YmExMjUxODU1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55,7.1,"126,700",tt7395114,movie,N/A,16 Sep 2020,N/A,N/A,N/A
194,The Smurfs 2,True,N/A,N/A,2013,PG,31 Jul 2013,105 min,"Animation, Adventure, Comedy",Raja Gosnell,"J. David Stem, David N. Weiss, Jay Scherick","Neil Patrick Harris, Jayma Mays, Katy Perry","The Smurfs team up with their human friends to rescue Smurfette, who has been abducted by Gargamel, since she knows a secret spell that can turn the evil sorcerer's newest creation, creatures called ""The Naughties"", into real Smurfs.","English, French","United States, France, Canada, Belgium",8 nominations,https://m.media-amazon.com/images/M/MV5BOGI0OTUwNTItZTU0Yy00YmMzLTlkNjQtZDJjZTI2YTliZTM4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '14%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.3,"41,403",tt2017020,movie,N/A,03 Dec 2013,"$71,017,784",N/A,N/A
195,Challenger: The Final Flight,True,N/A,N/A,2020,TV-14,16 Sep 2020,179 min,"Documentary, History",N/A,"Steven Leckart, Glen Zipper","June Scobee Rodgers, William Harwood, Frederick D. Gregory","Four-part docuseries on the 1986 Challenger space shuttle disaster, unpacking an indelible moment for a generation of Americans.",English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNTY4MjRkMzEtODJkMS00YmQ2LTg0MjEtNzcwYWM3MmE3ZWJjXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}]",N/A,7.8,"6,718",tt12930534,series,1,N/A,N/A,N/A,N/A
196,The Paramedic,True,N/A,N/A,2020,TV-MA,16 Sep 2020,94 min,"Crime, Drama, Thriller",Carles Torras,"Rebeca Arnal, David Desola, Hèctor Hernández Vicens","Mario Casas, Déborah François, Guillermo Pfening","Angel works in an ambulance service. After a tragic accident, his personal life begins to deteriorate as he becomes more and more suspicious of his partner Vane.",Spanish,Spain,1 win,https://m.media-amazon.com/images/M/MV5BNWE5ODJjNzUtMjk5YS00ZGVhLWI3NWQtNDc5MjU2ZWNhZjllXkEyXkFqcGdeQXVyMTM2Mzg4MA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '50%'}]",N/A,5.7,"12,000",tt11127690,movie,N/A,16 Sep 2020,N/A,N/A,N/A
197,The Take,True,N/A,N/A,2016,R,18 Nov 2016,92 min,"Action, Crime, Drama",James Watkins,"Andrew Baldwin, James Watkins","Idris Elba, Richard Madden, Charlotte Le Bon",A young pickpocket and an unruly CIA agent team up on an anti-terrorist mission in France.,"English, French","United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",N/A,https://m.media-amazon.com/images/M/MV5BMTAyNDc3MDMwMDNeQTJeQWpwZ15BbWU4MDkyMzc5MjAy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '48/100'}]",48,6.3,"43,020",tt2368619,movie,N/A,07 Feb 2017,"$50,269",N/A,N/A
198,Ratched,True,N/A,N/A,2020–,TV-MA,18 Sep 2020,N/A,"Crime, Drama, Mystery",N/A,"Ryan Murphy, Evan Romansky","Sarah Paulson, Finn Wittrock, Cynthia Nixon","In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.",English,United States,Nominated for 4 Primetime Emmys. 2 wins & 19 nominations total,https://m.media-amazon.com/images/M/MV5BMDJiZGE5NzYtZGU3Zi00NDQwLWFhMjAtNTM0MDM2ZTljMjAzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,"52,467",tt7423538,series,1,N/A,N/A,N/A,N/A
199,Jurassic World: Camp Cretac…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
200,The Blacklist,True,N/A,N/A,2013–,TV-14,23 Sep 2013,43 min,"Crime, Drama, Mystery",N/A,Jon Bokenkamp,"James Spader, Megan Boone, Diego Klattenhoff","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.",English,United States,Won 1 Primetime Emmy. 2 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BNDFkZDI5ZGUtYTdkOC00YTFiLWJjNjMtNTQ3ZjIxMTY2ZjMyXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"236,256",tt2741602,series,9,N/A,N/A,N/A,N/A
201,The American Barbecue Showdown,True,N/A,N/A,2020–,TV-G,18 Sep 2020,N/A,Reality-TV,N/A,N/A,"Lyric Lewis, Rutledge Wood, Kevin Bludso",Food competition that follows the country's best backyard smokers and competitive barbecuers as they compete for the title of American Barbecue Champion.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMmY4ZDRiN2YtNTc4MS00MTI2LTkzYjYtMTEwZTA5YzEzMDIxXkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"1,151",tt12938472,series,1,N/A,N/A,N/A,N/A
202,Enola Holmes,True,N/A,N/A,2020,PG-13,23 Sep 2020,123 min,"Action, Adventure, Crime",Harry Bradbeer,"Jack Thorne, Nancy Springer, Arthur Conan Doyle","Millie Bobby Brown, Henry Cavill, Sam Claflin","When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young",English,United Kingdom,3 wins & 11 nominations,https://m.media-amazon.com/images/M/MV5BZjNkNzk0ZjEtM2M1ZC00MmMxLTlmOWEtNWRlZTc1ZTUyNzY4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,6.6,"160,031",tt7846844,movie,N/A,24 Sep 2020,N/A,N/A,N/A
203,Real Steel,True,N/A,N/A,2011,PG-13,07 Oct 2011,127 min,"Action, Drama, Sci-Fi",Shawn Levy,"John Gatins, Dan Gilroy, Jeremy Leven","Hugh Jackman, Evangeline Lilly, Dakota Goyo","In the near future, robot boxing is a top sport. A struggling ex-boxer feels he's found a champion in a discarded robot.","English, Ukrainian","United States, India",Nominated for 1 Oscar. 2 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BMjEzMzEzNjg0N15BMl5BanBnXkFtZTcwMzg4NDk0Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '60%'}, {'Source': 'Metacritic', 'Value': '56/100'}]",56,7.0,"320,762",tt0433035,movie,N/A,24 Jan 2012,"$85,468,508",N/A,N/A
204,The Great British Baking Show,True,N/A,N/A,2010–,TV-PG,27 Dec 2014,60 min,Reality-TV,N/A,N/A,"Paul Hollywood, Mary Berry, Mel Giedroyc",Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,English,United Kingdom,Won 2 BAFTA 10 wins & 21 nominations total,https://m.media-amazon.com/images/M/MV5BOTQ0NGFkYmUtODQ2YS00N2FiLWIyNWUtNmJjMDkzMjVlNzIyXkEyXkFqcGdeQXVyMDE4MzA0NQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",N/A,8.6,"9,664",tt1877368,series,12,N/A,N/A,N/A,N/A
205,The Good Place,True,N/A,N/A,2016–2020,TV-PG,19 Sep 2016,22 min,"Comedy, Drama, Fantasy",N/A,Michael Schur,"Kristen Bell, William Jackson Harper, Jameela Jamil",Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.,English,United States,Nominated for 12 Primetime Emmys. 34 wins & 146 nominations total,https://m.media-amazon.com/images/M/MV5BYmMxNjM0NmItNGU1Mi00OGMwLTkzMzctZmE3YjU1ZDE4NmFjXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}]",N/A,8.2,"146,879",tt4955642,series,4,N/A,N/A,N/A,N/A
206,Sneakerheads,True,N/A,N/A,2020–,TV-MA,25 Sep 2020,N/A,Comedy,N/A,Jay Longino,"Allen Maldonado, Andrew Bachelor, Jearnest Corchado","Devin, a former sneakerhead turned stay-at-home dad, finds himself deep in the hole after falling for one of old friend Bobby's crazy schemes. To get his money back, the at-odds duo goes on the hunt for the most elusive kicks in the ",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTBhNzRlNzAtNjBlNS00Y2YwLWJhYzItYWU4OTEwN2JlNTk2XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}]",N/A,6.1,"1,329",tt10151772,series,1,N/A,N/A,N/A,N/A
207,Bad Teacher,True,N/A,N/A,2011,R,24 Jun 2011,92 min,"Comedy, Romance",Jake Kasdan,"Gene Stupnitsky, Lee Eisenberg","Cameron Diaz, Jason Segel, Justin Timberlake","A lazy, incompetent middle school teacher who hates her job, her students, and her co-workers is forced to return to teaching to make enough money for breast implants after her wealthy fiancé dumps her.",English,United States,6 wins & 4 nominations,https://m.media-amazon.com/images/M/MV5BMTQ5NDI4MDM0Nl5BMl5BanBnXkFtZTcwNDYwODU2NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,5.7,"201,525",tt1284575,movie,N/A,18 Oct 2011,"$100,292,856",N/A,N/A
208,American Murder: The Family Next Door,True,N/A,N/A,2020,TV-MA,30 Sep 2020,83 min,"Documentary, Crime",Jenny Popplewell,N/A,"Nickole Atkinson, Jim Benemann, Luke Epple","In 2018, 34-year-old Shanann Watts and her two young daughters disappear in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.",English,United Kingdom,Nominated for 1 BAFTA Award2 wins & 5 nominations total,https://m.media-amazon.com/images/M/MV5BZjNkOWZlMWYtYmU1Ny00M2ZlLTkzZWUtM2RkMjU0MjM5NmEwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '67/100'}]",67,7.2,"26,426",tt12987894,movie,N/A,30 Sep 2020,N/A,N/A,N/A
209,Welcome to Sudden Death,True,N/A,N/A,2020,R,29 Sep 2020,81 min,"Action, Drama, Thriller",Dallas Jackson,"Dallas Jackson (screenplay by), Gene Quintano (screenplay by), Gene Quintano (based on a screenplay by)","Michael Jai White, Michael Eklund, Sabryn Rock, Nakai Takawira","A security guard (ex special forces) brings his two kids to work at a basketball arena on the day, the governor, mayor, thousands of other spectators and 8 terrorists are there.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmU4MDdlMTUtOTAyMC00YzQ3LWFhYWQtNDUxNjhiNzM4NzIwXkEyXkFqcGdeQXVyODQ4NjA3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}]",N/A,4.2,"1,567",tt10804786,movie,N/A,28 Sep 2020,N/A,N/A,N/A
